trade_id,scenario_id,flow_class,reference_status,policy,notional_quote_micro,upfront_fee_quote_micro,retained_fee_quote_micro,rebate_quote_micro,lp_protection_quote_micro,adverse_selection_proxy_quote_micro,lp_net_after_proxy_quote_micro,settlement_status,rejected_reference_attempts,expired_settlements,reactive_callbacks,modeled_callback_gas_budget
0x636b25174f1906132a0b24e6209c1e4e24ca304f0959ed95231ec6c2630d65b1,benign_random_flow,benign,valid,markout,2445000000,19560000,8757990,10802010,1422990,0,8757990,settled,0,0,2,800000
0x726e7db67e48fad36dd3c0727f14311fc9a749602990398ce26cd2c01d6ec37e,benign_random_flow,benign,valid,fixed,2813000000,8439000,8439000,0,0,0,8439000,not_required,0,0,0,0
0x726e7db67e48fad36dd3c0727f14311fc9a749602990398ce26cd2c01d6ec37e,benign_random_flow,benign,valid,volatility,2813000000,11206992,11206992,0,0,0,11206992,not_required,0,0,0,0
0x726e7db67e48fad36dd3c0727f14311fc9a749602990398ce26cd2c01d6ec37e,benign_random_flow,benign,valid,markout,2813000000,22504000,9603582,12900418,1164582,0,9603582,settled,0,0,2,800000
0x272fe7f605057dbf07a05c95b808d82c8bbed5f4452c794fedf02dda89605b5b,benign_random_flow,benign,valid,fixed,4850000000,14550000,14550000,0,0,3380450,11169550,not_required,0,0,0,0
0x272fe7f605057dbf07a05c95b808d82c8bbed5f4452c794fedf02dda89605b5b,benign_random_flow,benign,valid,volatility,4850000000,16494850,16494850,0,0,3380450,13114400,not_required,0,0,0,0
0x272fe7f605057dbf07a05c95b808d82c8bbed5f4452c794fedf02dda89605b5b,benign_random_flow,benign,valid,markout,4850000000,38800000,24807750,13992250,10257750,3380450,21427300,settled,0,0,2,800000
0xa419ae75e9e986d918f42c63ee2b2b6e9a348cf5fe8433a5ae23bc362d9f5205,benign_random_flow,benign,valid,fixed,1754000000,5262000,5262000,0,0,0,5262000,not_required,0,0,0,0
0xa419ae75e9e986d918f42c63ee2b2b6e9a348cf5fe8433a5ae23bc362d9f5205,benign_random_flow,benign,valid,volatility,1754000000,6121460,6121460,0,0,0,6121460,not_required,0,0,0,0
0xa419ae75e9e986d918f42c63ee2b2b6e9a348cf5fe8433a5ae23bc362d9f5205,benign_random_flow,benign,valid,markout,1754000000,14032000,6233716,7798284,971716,0,6233716,settled,0,0,2,800000
0x01fe18f987051150fd762c1b0371feafaa5f6825bac0aaa08bffab69dde839df,benign_random_flow,benign,valid,fixed,264000000,792000,792000,0,0,0,792000,not_required,0,0,0,0
0x01fe18f987051150fd762c1b0371feafaa5f6825bac0aaa08bffab69dde839df,benign_random_flow,benign,valid,volatility,264000000,1042800,1042800,0,0,0,1042800,not_required,0,0,0,0
0x01fe18f987051150fd762c1b0371feafaa5f6825bac0aaa08bffab69dde839df,benign_random_flow,benign,valid,markout,264000000,2112000,903408,1208592,111408,0,903408,settled,0,0,2,800000
0x7672bc13871cab014a828fb54a51d23a14cc6a58ba3c9a0751fc7e3979c04045,benign_random_flow,benign,valid,fixed,2113000000,6339000,6339000,0,0,194396,6144604,not_required,0,0,0,0
0x7672bc13871cab014a828fb54a51d23a14cc6a58ba3c9a0751fc7e3979c04045,benign_random_flow,benign,valid,volatility,2113000000,8335785,8335785,0,0,194396,8141389,not_required,0,0,0,0
0x7672bc13871cab014a828fb54a51d23a14cc6a58ba3c9a0751fc7e3979c04045,benign_random_flow,benign,valid,markout,2113000000,16904000,8762611,8141389,2423611,194396,8568215,settled,0,0,2,800000
0x2ee8c206e7fe5afa0c542a0359d8e776c4c584802e259485e086ae422970551c,benign_random_flow,benign,valid,fixed,1458000000,4374000,4374000,0,0,0,4374000,not_required,0,0,0,0
0x2ee8c206e7fe5afa0c542a0359d8e776c4c584802e259485e086ae422970551c,benign_random_flow,benign,valid,volatility,1458000000,5664330,5664330,0,0,0,5664330,not_required,0,0,0,0
0x2ee8c206e7fe5afa0c542a0359d8e776c4c584802e259485e086ae422970551c,benign_random_flow,benign,valid,markout,1458000000,11664000,5496660,6167340,1122660,0,5496660,settled,0,0,2,800000
0x9bf6ac7ab06370ed0f9b4d826cb20e0c816c73561ecc1ed4e4e9d718f9f31b0f,benign_random_flow,benign,valid,fixed,3012000000,9036000,9036000,0,0,0,9036000,not_required,0,0,0,0
